Underlying,FixedRate,TradeId,Counterparty,Quantity,TradeType
BFRIF,0.99,2884,"Cummings, Dibbert and Davis",960533.89,IRSwap
Q2UMD,0.84,2885,VonRueden and Sons,501575.90,IRSwap
CIZIC,0.23,2886,Bauch - Doyle,576130.48,IRSwap
V9SBD,0.38,2887,Feeney - Kuhic,609857.78,IRSwap
L4209,0.82,2888,"Lueilwitz, Jacobson and Rogahn",617624.92,IRSwap
4ZLLS,0.43,2889,Nader - Huel,414217.07,IRSwap
WFSMH,0.28,2890,Denesik Inc,499719.05,IRSwap
WMGYR,0.39,2891,Fritsch - Abbott,965975.43,IRSwap
L37Q9,0.18,2892,"Larkin, Bernhard and Johns",77392.80,IRSwap
78P5C,0.42,2893,"McLaughlin, Wilderman and Nader",368605.59,IRSwap
MFIHI,0.65,2894,Ziemann - Gulgowski,163640.58,IRSwap
SFBCL,0.90,2895,"Jacobs, Kunze and Rempel",115895.29,IRSwap
1BJF7,0.26,2896,Botsford Group,660201.74,IRSwap
24WYN,0.68,2897,Batz - Langosh,989821.57,IRSwap
6GW9F,0.82,2898,Roberts LLC,884545.36,IRSwap
BWIIK,0.09,2899,Schultz - Runte,519542.86,IRSwap
DZQ1N,0.51,2900,"Beier, Halvorson and Howell",230486.98,IRSwap
HKWGL,0.43,2901,Pacocha - Tromp,658772.38,IRSwap
S9ZO6,0.61,2902,Abshire and Sons,873299.52,IRSwap
6F5NT,0.47,2903,Howe - Marquardt,708782.22,IRSwap
15VUU,0.34,2904,Ebert Group,316207.35,IRSwap
O1XIF,0.09,2905,Bartoletti - Yundt,667487.80,IRSwap
Y36H1,0.41,2906,"Beer, Strosin and Beatty",98360.66,IRSwap
282UN,0.40,2907,Oberbrunner Inc,260849.19,IRSwap
DEW04,0.50,2908,Sporer Group,20697.44,IRSwap
3CP72,0.04,2909,Erdman - Reynolds,480846.51,IRSwap
DVEMT,0.86,2910,"Howell, Schamberger and Weber",337913.01,IRSwap
11PK7,0.18,2911,"Sawayn, Pouros and Stoltenberg",212673.98,IRSwap
WN5QJ,0.85,2912,Lubowitz - Sanford,37769.55,IRSwap
WOZJH,0.39,2913,"Morar, Reichel and Roberts",56571.65,IRSwap
1MWAO,0.50,2914,Nicolas Group,434785.47,IRSwap
85AH8,0.25,2915,Smitham - Lakin,45540.92,IRSwap
Z455C,0.73,2916,"Gottlieb, Altenwerth and Ullrich",169498.68,IRSwap
WTLV0,0.26,2917,Prosacco Group,20711.10,IRSwap
R7PTQ,0.38,2918,Stamm - Hermann,265490.99,IRSwap
1M192,0.50,2919,Gutmann - Flatley,503006.21,IRSwap
4Q0BC,0.70,2920,"Considine, Hauck and Russel",469970.28,IRSwap
FNNER,0.42,2921,Durgan - Zulauf,452841.91,IRSwap
QGAZA,0.77,2922,Johnson - Windler,209690.28,IRSwap
AIKSN,0.49,2923,Schoen - Leannon,516077.23,IRSwap
381MY,0.41,2924,"Kunze, Huel and Pfannerstill",916059.41,IRSwap
DKQOF,0.05,2925,"Haag, Bode and Jacobson",727058.48,IRSwap
OH5X2,0.84,2926,Marvin and Sons,795911.99,IRSwap
AAM78,0.37,2927,"Glover, Rogahn and Spinka",24550.40,IRSwap
F4K40,0.06,2928,Hermann and Sons,500296.78,IRSwap
B4ERW,0.69,2929,"Beahan, Murazik and Kohler",818451.67,IRSwap
KP393,0.46,2930,"Mante, Buckridge and Bashirian",335900.15,IRSwap
WA9DL,0.79,2931,Parisian LLC,221658.17,IRSwap
4D7Y6,0.24,2932,Schaefer Group,221296.54,IRSwap
SCG3J,0.86,2933,Hayes - Pagac,430063.36,IRSwap
UYRLF,0.82,2934,Romaguera Group,505892.60,IRSwap
USBT7,0.18,2935,Huel and Sons,902022.87,IRSwap
0V0AF,0.54,2936,Considine - Botsford,864185.44,IRSwap
ATAD6,0.62,2937,"Crist, Schultz and Reynolds",749163.19,IRSwap
21RL0,0.03,2938,Leannon - Heller,86659.92,IRSwap
WN3IY,0.94,2939,Torp - Hintz,366103.06,IRSwap
ZKK5J,0.95,2940,Cronin - Toy,992434.08,IRSwap
VMQRX,0.83,2941,Keebler Inc,558052.89,IRSwap
69FDU,0.64,2942,Pollich and Sons,515206.21,IRSwap
GMC3H,0.48,2943,"Sauer, Kautzer and Fay",145596.04,IRSwap
7UTH9,0.92,2944,Bayer - Beatty,988061.77,IRSwap
SQDTQ,0.14,2945,Mann Inc,718563.25,IRSwap
90TEF,1.00,2946,Gulgowski Group,219971.87,IRSwap
LNDIY,0.43,2947,Paucek - Kling,343960.76,IRSwap
F7AIC,0.72,2948,Towne - McGlynn,721300.69,IRSwap
AB5TQ,0.22,2949,Lowe and Sons,347433.74,IRSwap
IM4S4,0.14,2950,Jacobson Inc,271758.13,IRSwap
IBP6S,0.04,2951,Stanton - Sporer,293351.30,IRSwap
UB319,0.50,2952,"Haag, Bednar and Rau",744039.10,IRSwap
7UB6S,0.10,2953,Schinner - Rogahn,403226.79,IRSwap
EP2UZ,0.62,2954,Huels - Effertz,380221.19,IRSwap
CBIOB,0.01,2955,"Balistreri, Pollich and Langosh",721801.89,IRSwap
3WAGE,0.99,2956,"Smitham, Nikolaus and Schaefer",52641.38,IRSwap
UCC48,0.27,2957,Wehner Inc,910167.07,IRSwap
38OVI,0.79,2958,Ondricka LLC,527788.37,IRSwap
KKLCL,0.19,2959,Koss - Boyer,771941.16,IRSwap
0RBTI,0.99,2960,Leffler - Ernser,963372.88,IRSwap
N639Y,0.86,2961,Lubowitz Inc,736096.32,IRSwap
HJUFC,0.27,2962,Johnson Group,606644.04,IRSwap
JFLIC,0.93,2963,"Yundt, Lehner and Bechtelar",727381.67,IRSwap
EC3DH,0.33,2964,"Hills, Lesch and Miller",957408.07,IRSwap
LMHGW,0.88,2965,Rodriguez - Wolff,127175.49,IRSwap
0004Q,0.50,2966,Feil - Franecki,199216.31,IRSwap
E0I5H,0.32,2967,"McLaughlin, Watsica and Hayes",48001.39,IRSwap
2LYT3,0.06,2968,"Schaefer, Jenkins and McCullough",784462.52,IRSwap
AEXDC,0.99,2969,Beatty - Jenkins,133328.04,IRSwap
TM26L,0.95,2970,Wolff - McLaughlin,813875.60,IRSwap
GUM8Y,0.41,2971,Keebler LLC,487368.11,IRSwap
5VXW4,0.61,2972,Upton and Sons,681629.03,IRSwap
BTTRY,0.44,2973,Schinner - Cole,328269.07,IRSwap
R0HXO,0.45,2974,Russel - Erdman,153053.92,IRSwap
QKWOX,0.71,2975,"Prosacco, Jenkins and Weissnat",833804.85,IRSwap
IA85M,0.01,2976,Blanda Inc,365172.65,IRSwap
O8X4E,0.00,2977,"Gislason, Larson and Torphy",388992.87,IRSwap
D6HL8,0.91,2978,Okuneva Group,886666.20,IRSwap
O7S9P,0.26,2979,Baumbach LLC,356631.36,IRSwap
W1G1C,0.99,2980,"Beahan, Kiehn and Wehner",438225.48,IRSwap
F6H43,0.74,2981,Leuschke - Quigley,935497.16,IRSwap
7SJPH,0.46,2982,Jast - Brakus,744846.59,IRSwap
67VGH,0.13,2983,Jaskolski - Cole,243530.15,IRSwap
KI0F9,0.03,2984,Lesch Group,923522.57,IRSwap
6MC67,0.10,2985,Connelly LLC,525242.72,IRSwap
B4EGR,0.20,2986,Rohan - Mayer,880816.54,IRSwap
O1I66,0.71,2987,Bartell LLC,974622.90,IRSwap
ISL2J,0.88,2988,"Brekke, Johnson and Kiehn",146937.89,IRSwap
Y0LF3,0.55,2989,"Feeney, Howell and Mohr",299312.42,IRSwap
NU445,0.01,2990,"Blanda, Reynolds and Goyette",515605.71,IRSwap
4QSCS,0.40,2991,Harber - Johns,332657.11,IRSwap
8DD3I,0.58,2992,Hand LLC,798645.82,IRSwap
PV05R,0.93,2993,"Monahan, Ernser and Kihn",341824.47,IRSwap
26YT9,0.79,2994,Rau - Pagac,728294.93,IRSwap
R4H99,0.45,2995,Hackett Inc,456174.98,IRSwap
W3YZF,0.87,2996,Moore LLC,256741.05,IRSwap
LX266,0.42,2997,"Dickens, Barrows and Kreiger",787504.76,IRSwap
A2ZLL,0.39,2998,Feeney Group,668041.80,IRSwap
4FUY7,0.98,2999,"Thiel, Halvorson and Terry",811069.30,IRSwap
AOO56,0.41,3000,Jast - Ziemann,896268.92,IRSwap
DSLL1,0.99,3001,Bradtke Inc,785848.74,IRSwap
BPLZG,0.52,3002,Smith - Kshlerin,70925.15,IRSwap
VTSR0,0.39,3003,Farrell Group,444383.15,IRSwap
MRA3F,0.34,3004,Kihn and Sons,976153.18,IRSwap
KXXLK,0.08,3005,"Franecki, Vandervort and Feil",574264.45,IRSwap
5LXK0,0.82,3006,"Pacocha, O'Reilly and Dare",869904.21,IRSwap
FIFJF,0.51,3007,O'Connell - Orn,957850.13,IRSwap
BPVBW,0.87,3008,Christiansen - Pfannerstill,987313.76,IRSwap
RQSRM,0.70,3009,Koelpin and Sons,625836.94,IRSwap
O9KM4,0.43,3010,Strosin and Sons,14436.58,IRSwap
5JZ6J,0.44,3011,Beatty - Collins,567621.76,IRSwap
3C16O,0.70,3012,"Morar, Ortiz and Cole",629578.97,IRSwap
SOA15,0.25,3013,"Upton, Rice and Hauck",677370.21,IRSwap
BQH8R,0.61,3014,Kohler and Sons,137835.46,IRSwap
77DKX,0.53,3015,Dicki Group,558335.14,IRSwap
5E8GR,0.31,3016,Klocko - Reichert,802397.43,IRSwap
7QHSL,0.56,3017,"Kuphal, Green and Kohler",443242.38,IRSwap
RSHKA,0.72,3018,"Volkman, Bosco and Kozey",716581.28,IRSwap
QLZXI,0.01,3019,Mosciski Group,715307.65,IRSwap
WI4ZG,0.89,3020,Koelpin - Reinger,708927.34,IRSwap
MBFNG,0.99,3021,"Heathcote, Wintheiser and Kohler",540480.73,IRSwap
OMQG5,0.50,3022,Aufderhar Inc,373684.06,IRSwap
DRT8N,0.48,3023,"Bernhard, Lowe and Kunde",454926.52,IRSwap
NC639,0.57,3024,Huels Group,781956.40,IRSwap
FKC8V,0.39,3025,Bergstrom Inc,297340.16,IRSwap
9EY39,0.57,3026,Gulgowski - Hyatt,945294.55,IRSwap
1M8L0,0.28,3027,Jacobson - Schaden,507549.99,IRSwap
K0I70,0.80,3028,Herman - Vandervort,924873.07,IRSwap
YTZZI,0.24,3029,McCullough - Hilll,277349.21,IRSwap
YVAI8,0.81,3030,Borer - Stamm,689078.27,IRSwap
U6DHD,0.27,3031,Roberts Inc,597241.77,IRSwap
01IJ8,0.63,3032,"Sanford, Bernhard and Kohler",136205.86,IRSwap
GI7YP,0.72,3033,Boehm Group,889571.75,IRSwap
ODRFR,0.44,3034,White Inc,479266.96,IRSwap
M0DJX,0.84,3035,Monahan - Feil,347907.57,IRSwap
NFPDO,0.17,3036,"Williamson, Bahringer and Davis",57276.85,IRSwap
TVZGN,0.26,3037,Ondricka - Lueilwitz,875180.73,IRSwap
NUF9F,0.12,3038,Sauer Group,106467.64,IRSwap
X0F0X,0.06,3039,"Bartell, Stracke and West",55087.40,IRSwap
YOHS5,0.40,3040,Brakus and Sons,16187.34,IRSwap
682ET,0.00,3041,Gorczany LLC,708049.12,IRSwap
HSLTW,0.84,3042,Walter - Lockman,498031.92,IRSwap
ZOI3P,0.17,3043,Kautzer - Reichert,201832.21,IRSwap
RA8VO,0.95,3044,"Kunde, Greenfelder and Reinger",565647.65,IRSwap
5KRJ5,0.08,3045,Emard Group,632555.82,IRSwap
OJDPH,0.73,3046,Torp - Hagenes,836529.87,IRSwap
MTXPI,0.37,3047,"Pouros, Oberbrunner and Bauch",937608.22,IRSwap
SKU4Q,0.55,3048,"Effertz, Treutel and Lindgren",211374.87,IRSwap
ZWV7W,0.52,3049,Bogisich - Hackett,608409.95,IRSwap
KWPIQ,0.84,3050,Windler - Willms,329050.48,IRSwap
EAGRS,0.87,3051,"Nicolas, Rath and Quitzon",672781.37,IRSwap
KQBNX,0.04,3052,Zemlak - Kerluke,130092.98,IRSwap
8X7NW,0.87,3053,Metz - Sporer,562890.17,IRSwap
XDLXK,0.59,3054,Howell - Toy,732555.38,IRSwap
0YI70,0.16,3055,Kerluke - Brekke,653454.93,IRSwap
A1V5F,0.48,3056,Stiedemann - Schmitt,799921.20,IRSwap
JZ3P7,0.18,3057,Schuster Group,930480.29,IRSwap
M3H6K,0.28,3058,Huels Inc,337906.22,IRSwap
IHL3F,0.89,3059,Ankunding - Nicolas,728061.01,IRSwap
ILK64,0.02,3060,Kirlin - Langworth,93572.04,IRSwap
YRG67,0.55,3061,"Shanahan, Ziemann and Shanahan",27785.93,IRSwap
65F2E,0.01,3062,"McKenzie, Considine and Bergstrom",70093.61,IRSwap
VZT0I,0.31,3063,Halvorson LLC,684825.16,IRSwap
0TPJP,0.12,3064,Lindgren and Sons,583769.53,IRSwap
D0FEE,0.76,3065,"Erdman, Hayes and Skiles",861305.12,IRSwap
O5C3S,0.64,3066,Mosciski Group,556897.09,IRSwap
1QH1D,0.45,3067,Pfeffer Inc,604994.61,IRSwap
ZUTIY,0.39,3068,"Heller, Gottlieb and Boyle",50444.61,IRSwap
XJ0CN,0.36,3069,Carroll - Luettgen,9790.35,IRSwap
J38TM,0.54,3070,Ward - Kub,752030.71,IRSwap
PCRIP,0.31,3071,Batz - Willms,871303.02,IRSwap
KKOL4,0.19,3072,Mayer - Schulist,251544.93,IRSwap
FFSCI,0.88,3073,Rath - Reichel,91094.74,IRSwap
ZK5OA,0.58,3074,Anderson - Tillman,420767.61,IRSwap
V487Y,0.42,3075,"Lebsack, Nienow and Heaney",838073.58,IRSwap
OBVFA,0.54,3076,Paucek - Kilback,88519.33,IRSwap
IOE9Z,0.41,3077,Yost - Senger,702544.41,IRSwap
X2D9K,0.31,3078,Gusikowski LLC,401292.52,IRSwap
ZBFBB,0.25,3079,Cormier - Macejkovic,461866.59,IRSwap
DJTNB,0.18,3080,Fritsch Inc,37790.08,IRSwap
C515L,0.94,3081,"Wolff, DuBuque and Lowe",413555.78,IRSwap
9FDQ6,0.25,3082,Stracke - Yundt,981223.54,IRSwap
RAI1E,0.26,3083,Watsica LLC,123261.20,IRSwap
X01N6,0.40,3084,"Walker, Huel and McDermott",585346.47,IRSwap
D0233,0.45,3085,Raynor and Sons,672251.09,IRSwap
GFN1M,0.01,3086,"Cormier, Walker and Olson",44088.72,IRSwap
EEBFB,0.08,3087,"Heathcote, Dooley and Pouros",470308.87,IRSwap
GDAGX,0.29,3088,"Stokes, Thompson and Emmerich",433211.41,IRSwap
JHLDL,0.55,3089,"Senger, Ryan and Kovacek",922950.87,IRSwap
ZXMNR,0.69,3090,Keebler - Hintz,109389.49,IRSwap
ST1ZA,0.76,3091,Smith Inc,62479.21,IRSwap
DXZHU,0.85,3092,Blick and Sons,536110.46,IRSwap
GUBGG,0.67,3093,"Walter, Kozey and Kiehn",474532.71,IRSwap
ME5PG,0.61,3094,"Cronin, Moen and Ortiz",987215.83,IRSwap
YUQ2X,0.13,3095,Stamm and Sons,308859.14,IRSwap
PLBZP,0.50,3096,"Ward, Stiedemann and Ebert",362991.76,IRSwap
VEALC,0.14,3097,"Bosco, Hudson and Von",851164.95,IRSwap
25H0L,0.41,3098,Fadel - Spencer,626927.60,IRSwap
QGMWT,0.82,3099,Leuschke - Wyman,230409.98,IRSwap
ZE4YC,0.76,3100,"Roberts, Breitenberg and Feil",754818.37,IRSwap
